name
 Virginia Mayo
 Dean Stockwell
Dennis O'Keefe
 Mary Meade
 Alfred Ryder
Joan Caulfield
 Audrey Totter
 Constance Bennett
Bud Abbott
 Lou Costello
 Peter Lawford
 Ann Miller
Ralph Richardson
 Michèle Morgan
 Sonia Dresdel
 Bobby Henrey
 Thomas Gomez
 Marie Windsor
 Howland Chamberlain
John Laurie
 Esmond Knight
 Anthony Quayle
Richard Basehart
 Scott Brady
 Roy Roberts
 Whit Bissell
Jane Wyman
Lamberto Maggiorani
 Enzo Staiola
 Lianella Carell
 Gino Saltamerenda
 Everett Sloane
 Glenn Anders
Joan Fontaine
 Louis Jourdan
 Mady Christians
 Marcel Journet
 Reginald Denny
John Howard Davies
 Alec Guinness
 Kay Walsh
 Jane Russell
 Iris Adrian
 Marsha Hunt
 Montgomery Clift
 Joanne Dru
John Dall
 Farley Granger
 Edith Evanson
 Douglas Dick
Olivia de Havilland
 Mark Stevens
 Leo Genn
 Burt Lancaster
 Ann Richards
 Wendell Corey
Cathy O'Donnell
 Jay C. Flippen
 Barbara Lawrence
 Gig Young
 Adele Mara
Takashi Shimura
 Toshirô Mifune
 Reizaburô Yamamoto
 Michiyo Kogure
 Judy Holliday
 Tom Ewell
 J. Pat O'Malley
 Clyde Beatty
 Frank Buck
Broderick Crawford
 John Derek
Chishû Ryû
 Setsuko Hara
 Yumeji Tsukioka
 Haruko Sugimura
Van Johnson
 Ricardo Montalban
Edmund Gwenn
 Yvonne De Carlo
 Stephen McNally
 Joan Tetzel
 Ralph Richardson
 Miriam Hopkins
 Marion Marshall
 Randy Stuart
 Barbara Bates
 Elsa Lanchester
Dennis Price
 Joan Greenwood
 Ann Sothern
Terry Moore
 Ben Johnson
 Mr. Joseph Young
Toshirô Mifune
 Takashi Shimura
 Keiko Awaji
 Eiko Miyoshi
Gene Kelly
 Frank Sinatra
 Betty Garrett
Robert Ryan
 John Agar
Burl Ives
 Mario Vitale
 Renzo Cesana
 Mario Sponzo
 Esther Williams
 Alida Valli
 Hugh Marlowe
 Gary Merrill
 Millard Mitchell
 Michael Wilding
 Margaret Leighton
 Margaret Wycherly
Sterling Hayden
 Jean Hagen
 James Whitmore
Dean Martin
 Jerry Lewis
 Mike Kellin
 Jimmie Dundee
Judy Holliday
 William Holden
 Howard St. John
Clifton Webb
 Betty Lynn
Ilene Woods
 Eleanor Audley
 Verna Felton
 Claire Du Brey
Edmond O'Brien
 Pamela Britton
 Luther Adler
 Beverly Garland
 Don Taylor
Peggy Cummins
 John Dall
 Berry Kroeger
 Josephine Hull
 Peggy Dow
 Charles Drake
 Frank Lovejoy
 Carl Benton Reid
 Robert Douglas
 Stewart Granger
 Hugo Haas
Marlon Brando
 Jack Webb
Richard Widmark
 Googie Withers
 Sidney Poitier
 Paul Douglas
